Area_Name,Year,Group_Name,Sub_Group_Name,CD_Deaths_Reported,CD_No_of_Autopsy_conducted,CD_No_of_Cases_registered_in_connection_with_deaths,CD_No_of_Judicial_enquiry_orderedconducted,CD_No_of_Magisterial_enquiry_orderedconducted,CD_No_of_Policemen_Charge_sheeted,CD_No_of_Policemen_Convicted
Himachal Pradesh,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Jammu & Kashmir,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Maharashtra,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meghalaya,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,2009,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,4.0,4.0,4.0,0.0,4.0,0.0,0.0
Andhra Pradesh,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5.0,4.0,5.0,1.0,4.0,1.0,0.0
Arunachal Pradesh,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Bihar,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chhattisgarh,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3.0,3.0,0.0,2.0,3.0,0.0,0.0
Himachal Pradesh,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Jammu & Kashmir,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Kerala,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5.0,5.0,0.0,0.0,1.0,0.0,0.0
Manipur,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meghalaya,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Odisha,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1.0,1.0,1.0,0.0,1.0,0.0,0.0
West Bengal,2010,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1.0,1.0,1.0,0.0,1.0,0.0,0.0
